[1029880.0, 60.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.21616, 0.16584, '', '']
[1035500.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[1053700.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.05528, '', '']
[1059800.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.05528, 0.05528, '', '']
[1061890.0, 60.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.6584, 0.16584, '', '']
[1078130.0, 150.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.11056, '', '']
[1079630.0, 140.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.5528, 0.11056, '', '']
[1090500.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[1098400.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.88448, 0.22112, '', '']
[1103900.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[1134880.0, 150.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.33168, 0.11056, '', '']
[1137300.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.16584, '', '']
[1142740.0, 90.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.32672, 0.22112, '', '']
[1174000.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.38696, 0.11056, '', '']
[1198000.0, 1000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.11056, '', '']
[1204200.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.05528, '', '']
[1227500.0, 800.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.11056, '', '']
[1229600.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.11056, '', '']
[1252000.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.33168, 0.11056, '', '']
[1299200.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.11056, '', '']
[1307200.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.38696, 0.05528, '', '']
[1334000.0, 1000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.22112, '', '']
[1348870.0, 50.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.49256, 0.05528, '', '']
[1372300.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[1392300.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[1405000.0, 900.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[1455000.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.71864, 0.16584, '', '']
[1456000.0, 0.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.11056, '', '']
[1458900.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.05528, '', '']
[1506200.0, 800.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[1516260.0, 80.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.27144, 0.16584, '', '']
[1537000.0, 800.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.088448, 0.02764, '', '']
[1552000.0, 1000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.11056, '', '']
[1570000.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.11056, 0.05528, '', '']
[1573500.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[1581000.0, 800.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.11056, '', '']
[1587660.0, 60.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 1.43728, 0.16584, '', '']
[1643600.0, 500.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.33168, 0.11056, '', '']
[1646200.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.2764, 0.11056, '', '']
[1683230.0, 20.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 4.146, 0.11056, '', '']
[1693300.0, 300.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.011056, 0.005528, '', '']
[1704400.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.71864, 0.05528, '', '']
[1773200.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.66336, 0.05528, '', '']
[1797500.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.176896, 0.044224, '', '']
[1870800.0, 100.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.5528, 0.11056, '', '']
[1881200.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.22112, 0.05528, '', '']
[1885620.0, 70.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.99504, 0.11056, '', '']
[1892980.0, 80.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.154784, 0.038696, '', '']
[1914000.0, 1000.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.05528, 0.044224, '', '']
[1967800.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.16584, 0.05528, '', '']
[1974600.0, 200.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 0.038696, 0.011056, '', '']
[2005330.0, 90.0, 0.0, 0.0, 4.0, 0.0]
[1.0, 0.0, 3.37208, 0.22112, '', '']
[2016000.0, 1000.0, 0.0, 0.0, 4.0, 0.0]
